filename,ab,abbr,add,addrLine,address,cell,choice,closer,corr,date,dateline,del,div1,div2,expan,figDesc,figure,fw,gap,head,hi,item,lb,list,note,opener,orgName,orig,p,pb,persName,postscript,ref,reg,row,rs,salute,sic,signed,stamp,table,unclear
correspondence:wfc.css00055.xml,6,1,0,0,0,0,3,1,2,1,1,0,2,3,1,0,0,0,0,0,0,0,2,0,2,1,0,0,2,3,0,0,0,0,0,0,2,2,1,0,0,8
correspondence:wfc.css00437.xml,0,0,0,0,0,0,7,1,7,0,1,0,1,0,0,0,2,0,0,0,1,0,4,0,2,1,0,0,4,2,2,0,3,0,0,0,2,7,1,0,0,0
correspondence:wfc.css00670.xml,19,0,1,4,1,0,0,1,0,0,2,0,1,4,0,0,0,1,0,0,0,0,21,0,0,2,0,0,6,1,0,1,0,0,0,0,3,0,1,0,0,5
correspondence:wfc.css00668.xml,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00056.xml,0,1,0,1,1,0,9,1,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,0,0,2,8,1,0,0,0
correspondence:wfc.css00043.xml,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0
correspondence:wfc.css00040.xml,0,0,0,3,1,0,6,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,1,6,1,0,0,0
correspondence:wfc.css00012.xml,0,0,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,2,1,1,0,1,0,0,0,4,0,1,0,0,0
correspondence:wfc.css00014.xml,0,0,0,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,1,1,1,0,2,0,0,0,3,0,1,0,0,0
correspondence:wfc.css00044.xml,0,0,1,1,1,0,4,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,2,1,0,0,2,3,0,0,0,0
correspondence:wfc.css00562.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,12,0,1,0,0,0,1,1,2,0,5,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00442.xml,0,0,0,0,0,0,4,1,4,0,1,2,1,0,0,0,1,0,0,0,7,0,6,0,2,1,0,0,3,2,8,1,5,0,0,0,2,4,1,0,0,0
correspondence:wfc.css00038.xml,0,0,1,1,1,0,4,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,0,0,0,0,0,1,4,1,0,0,0
correspondence:wfc.css00015.xml,0,0,0,3,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,2,0,0,0,2,0,1,0,0,0
correspondence:wfc.css00039.xml,0,0,0,1,1,0,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,3,3,1,0,0,0,0,2,3,1,0,0,0
correspondence:wfc.css00054.xml,2,0,0,1,1,0,4,1,4,1,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,1,3,1,1,3,0,0,0,3,4,1,0,0,0
correspondence:wfc.css00042.xml,0,0,0,1,1,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,2,1,0,0,0
correspondence:wfc.css00667.xml,0,0,2,0,0,0,0,1,0,0,1,3,1,2,0,0,0,5,0,0,0,0,1,0,1,1,0,0,14,12,1,0,0,0,0,0,1,0,1,0,0,1
correspondence:wfc.css00037.xml,0,0,0,1,1,0,11,1,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,0,1,0,1,0,0,2,10,1,0,0,0
correspondence:wfc.css00058.xml,9,0,0,0,0,0,2,1,2,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,1,0,0,0,0,2,2,1,0,0,0
correspondence:wfc.css00473.xml,0,0,0,0,0,0,5,1,5,0,1,2,1,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,3,3,4,0,5,0,0,0,2,5,1,0,0,0
correspondence:wfc.css00444.xml,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,3,0,4,0,1,1,0,0,2,1,3,0,2,0,0,0,2,0,1,0,0,0
correspondence:wfc.css00565.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,12,0,1,0,0,0,2,1,2,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00577.xml,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,9,0,1,0,0,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00452.xml,0,0,0,0,0,0,3,1,3,0,1,1,1,0,0,0,2,0,0,0,0,0,9,0,2,1,0,0,5,2,4,1,5,0,0,0,1,3,1,0,0,0
correspondence:wfc.css00472.xml,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0
correspondence:wfc.css00443.xml,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,3,0,4,0,1,1,0,0,2,1,5,0,4,0,0,0,1,1,1,0,0,0
correspondence:wfc.css00564.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,10,0,1,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00580.xml,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,9,0,1,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00460.xml,0,0,1,0,0,0,4,1,4,0,1,1,1,0,0,0,1,0,0,0,3,0,5,0,1,1,1,0,3,1,5,0,2,0,0,0,1,4,1,0,0,0
correspondence:wfc.css00453.xml,0,0,1,0,0,0,3,1,3,0,1,0,1,0,0,0,0,3,0,0,0,0,19,0,4,1,2,0,3,4,7,0,8,0,0,0,1,3,1,0,0,0
correspondence:wfc.css00463.xml,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,4,0,5,0,1,1,0,0,3,1,3,0,5,0,0,0,1,1,1,0,0,0
correspondence:wfc.css00457.xml,0,0,0,0,0,0,4,1,4,0,1,0,1,0,0,0,2,0,0,0,6,0,9,0,2,1,0,0,5,2,3,1,4,0,0,0,1,4,1,0,0,0
correspondence:wfc.css00567.xml,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,7,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00462.xml,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,2,0,4,0,1,1,0,0,3,1,2,1,5,0,0,0,2,1,1,0,0,0
correspondence:wfc.css00471.xml,0,0,0,0,0,0,7,2,7,0,1,1,1,0,0,0,0,0,0,0,5,0,31,0,4,1,1,0,4,4,5,1,6,0,0,0,2,7,2,0,0,0
correspondence:wfc.css00449.xml,0,0,0,0,0,0,3,1,3,0,1,1,1,0,0,0,2,0,0,0,5,0,9,0,2,1,0,0,4,2,5,0,2,0,0,0,1,3,1,0,0,0
correspondence:wfc.css00467.xml,0,0,0,0,0,0,10,2,10,0,1,0,1,0,0,0,6,0,0,0,9,5,50,1,3,1,1,0,9,3,5,2,9,0,0,0,3,10,2,0,0,0
correspondence:wfc.css00465.xml,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,3,0,1,0,0,0,2,0,1,0,0,0
correspondence:wfc.css00458.xml,0,0,1,0,0,0,3,1,3,0,1,0,1,0,0,0,2,0,0,0,7,0,9,0,2,1,0,0,8,2,2,1,4,0,0,0,1,3,1,0,0,0
correspondence:wfc.css00440.xml,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,1,0,0,0,3,0,4,0,1,1,0,0,3,1,5,0,3,0,0,0,2,2,1,0,0,0
correspondence:wfc.css00466.xml,0,0,2,0,0,0,4,1,4,0,1,1,1,0,0,0,4,1,0,0,9,0,33,0,2,1,1,0,6,2,6,0,10,0,0,0,2,4,1,0,0,0
correspondence:wfc.css00573.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,11,0,1,0,0,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00470.xml,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,6,0,1,0,1,1,2,0,2,2,4,0,4,0,0,0,1,1,1,0,0,0
correspondence:wfc.css00566.xml,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,11,0,1,0,0,0,1,1,2,0,4,0,0,0,0,0,1,0,0,0
