filename,abbr,add,addrLine,address,argument,author,back,bibl,body,byline,cell,choice,cit,closer,corr,date,dateline,del,div,emph,epigraph,figure,floatingText,foreign,gap,head,hi,item,l,label,lb,lg,list,mentioned,milestone,name,note,opener,p,pb,q,ref,row,salute,seg,sic,signed,sp,speaker,stage,table,term,title,trailer,unclear
VAC7272.xml,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,9,5,0,0,0,0,7,0,0,34,0,0,6,0,0,0,0,0,0,141,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6109.xml,0,0,0,0,0,0,0,1,0,0,0,6,0,2,6,0,0,0,28,81,0,1,0,3,0,57,1,0,0,0,0,0,0,0,4,0,0,0,1317,47,1,0,0,0,0,6,0,0,0,0,0,0,0,0,17
VAC7362.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5639.xml,0,0,0,0,0,0,0,0,3,0,0,19,0,5,19,0,0,0,40,19,0,0,3,1,0,37,0,0,4,0,0,1,0,0,0,0,0,0,1868,154,4,0,0,0,0,19,4,0,0,0,0,0,0,0,0
VAC6281.xml,0,0,4,2,0,0,0,0,5,0,0,0,0,7,0,0,6,0,35,138,0,0,5,39,0,60,1,0,0,0,0,0,0,0,0,0,0,6,1962,186,5,0,0,6,0,0,6,0,0,0,0,0,4,0,0
VAC7607.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6020.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,27,0,0,0,1,0,40,11,0,416,0,0,87,0,0,0,0,521,0,1154,172,22,1042,0,0,0,0,0,0,0,0,0,0,0,0,4
VAC7515.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6689.xml,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,62,326,0,0,1,24,0,63,5,0,84,0,0,21,0,0,1,0,0,0,2653,232,27,0,0,0,0,2,0,0,0,0,0,0,0,0,9
VAC7370.xml,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0,8,2,1,23,1,5,0,20,2,0,4,0,0,1,0,0,1,0,1,0,281,63,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0
VAC6365.xml,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,29,0,0,0,2,0,8,2,0,0,0,0,0,0,0,1,0,0,0,199,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
VAC5857.xml,0,0,0,0,0,0,0,37,0,0,0,2,37,1,2,0,0,0,38,16,37,0,0,0,0,39,0,0,228,0,0,38,0,0,0,0,0,0,790,140,41,0,0,0,0,2,0,11,9,0,0,0,0,0,0
VAC5951.xml,0,0,0,0,0,0,0,18,2,0,0,0,17,20,0,0,0,0,102,184,6,0,2,7,0,117,16,0,406,0,0,79,0,0,4,0,7,0,1249,140,38,14,0,1,0,0,20,0,0,0,0,0,5,0,1
VAC8170.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
