filename,author,bibl,cell,date,div,emph,geo,head,item,l,label,list,milestone,note,p,pb,persName,placeName,publisher,q,ref,row,rs,table,textLang,time,title
voyage_3.xml,0,0,0,399,31,772,219,31,0,142,0,0,1,313,1002,0,2004,2687,0,74,313,0,0,0,0,130,0
voyage_4.xml,2,1,25,143,61,1221,881,61,150,128,0,3,0,0,3005,0,0,0,1,0,0,18,1,2,1,728,2
voyage_1.xml,0,0,0,84,5,0,39,5,0,0,0,0,0,0,107,72,27,23,0,0,0,0,86,0,0,63,0
voyage_2.xml,0,0,0,350,50,44,613,48,199,92,47,9,1,0,1388,804,1167,996,0,0,0,0,49,0,0,0,0
